Word,Frequency
10,4346
100,1415
1000,584
102,136
103,161
104,106
106,104
109,116
10th,729
11,2078
111,216
112,68
115,84
118,87
119,161
11th,563
12,2566
120,268
122,141
124,83
127,81
128,76
129,49
12th,714
13,1695
133,30
134,112
137,84
139,47
13th,626
14,2419
140,190
141,52
142,55
143,65
144,111
145,135
146,93
147,73
148,57
14th,630
15,2502
150,282
151,90
152,75
155,90
156,68
158,57
15th,753
16,2492
160,130
161,80
163,49
164,42
165,73
166,56
169,103
16th,484
17,1518
170,143
175,85
176,124
177,23
178,46
17th,566
18,1749
183rd,2
185,30
186,19
189,29
18th,696
19,1416
190,65
191,70
194,36
1958,18
196,65
1960,61
1965,25
197,62
1977,44
1980,77
1982,45
1996,172
1997,88
19th,462
1st,247
20,2731
200,468
2007,775
2008,678
2010,511
2011,723
2012,889
2013,761
2014,812
2015,479
2016,1113
2017,736
2018,848
2019,1144
2020,1078
2021,1657
2022,2952
2023,2451
2024,14053
2025,1009
2028,420
204,20
205,69
208,39
20th,220
21,1307
210,56
211,36
215,24
216,18
21st,229
22,1437
226,25
229,10
22nd,254
23,1097
232,13
23rd,297
24,1449
246,16
249,22
24th,384
25,1505
255,41
25th,272
26,1265
261,59
264,72
26th,227
27,1524
27th,204
28,1088
284,6
285,42
28th,215
29,988
29th,163
2nd,301
30,1507
300,646
30th,221
31,822
314,14
319,15
31st,119
32,885
33,593
33rd,138
34,611
34th,149
35,818
36,965
3600,2
37,686
379,17
37th,80
38,576
38th,83
39,537
390,4
39th,78
3rd,184
3w,2
40,1024
41,651
41st,137
42,647
424,5
43,434
44,373
44th,81
45,494
46,492
47,592
47th,38
48,421
49,298
490,1
4996,1
49th,96
4th,215
50,1356
500,802
5000,10
50kg,432
51,390
5121,1
5162,1
51st,85
52,569
53,339
53rd,104
54,515
54th,57
55,382
5529,1
56,293
57,380
57kg,302
58,399
58th,48
59,273
5th,248
5w,2
60,693
60th,53
61,228
62,276
63,194
63rd,26
64,367
64th,34
65,476
65th,33
66,351
67,383
68,446
69,452
692,4
69kg,84
6th,131
70,502
7000,3
71,408
71st,43
72,312
73,309
74,435
75,565
750,176
75kg,193
76,295
76th,9
77,264
77th,40
78,141
79,114
7th,228
81,150
82,227
83,158
84,136
87,129
88th,132
89,273
8th,185
90,349
91,99
93,130
96,114
99,120
9th,201
aakarshi,381
aamir,41
aaron,513
ab,150
abdul,180
aberg,168
abhinav,177
abhishek,1409
ability,2643
abishek,85
ablaze,15
able,2644
absence,1313
absorb,48
abstained,6
abuzz,52
ac,200
academy,1102
acc,70
accelerate,69
accept,368
accepted,264
acche,25
accolade,225
accomplishment,350
according,1597
accordingly,122
accounted,82
accumulating,213
accused,318
ace,729
achieve,1025
achieved,1961
achievement,2380
achieving,410
acknowledged,1311
acknowledging,484
acosto,2
acquired,129
acquiring,64
act,469
action,2044
actually,795
ad,188
adapt,343
add,1254
added,4121
addedkohli,1
adding,1119
additional,543
additionally,721
address,711
adductor,19
adeptness,8
adil,113
adjei,5
admiration,455
admitted,771
adopted,125
advance,743
advanced,1121
advancing,327
advantage,1159
advantageous,37
advent,17
advertising,27
advice,350
advised,173
advisory,65
aerial,141
afc,354
affair,480
affect,274
affiliated,97
afghanistan,1658
afp,1465
africa,3082
african,642
afternoon,428
agada,2
agarwal,115
aged,282
agenda,126
aggression,286
aggressive,1288
agility,96
ago,1617
agreed,317
ahead,3848
ahmad,191
ahmed,958
ahmedabad,740
ahmedtravis,12
aiden,181
aim,1583
aimed,369
aiming,855
airee,24
ajay,121
ajinkya,157
akane,155
akash,449
akeal,31
akshay,179
al,469
albiach,10
alcaraz,1494
alert,157
alex,451
alexander,512
alexei,77
ali,947
alike,325
alisher,1
alive,441
allegation,369
allegri,8
allianz,74
allowed,957
allowing,858
allows,187
allrounder,364
allure,14
almora,36
alongside,1638
alonso,36
alternating,36
alternative,115
alzarri,87
amallia,16
amassed,570
amazed,40
ambassador,158
ambati,100
amends,194
amerat,16
american,2321
amid,457
amidst,382
amit,598
amplifying,5
amritraj,275
amusement,30
amusing,37
analysed,40
analysing,27
ancelotti,159
andravindra,1
andre,384
andrey,160
ange,15
angeles,513
angkrish,80
angrily,28
angrkrish,2
ani,597
ankita,148
ankle,399
anmol,505
anmolpreet,31
annals,112
announced,2669
announcement,710
announcing,247
anonymity,48
anrich,98
anshul,81
answer,409
answering,92
anthony,262
anticipate,186
anticipated,922
anticipates,148
anticipation,198
antoine,44
antonio,153
anuj,40
anukul,32
anupama,316
anushka,82
anymore,242
ap,528
apart,578
apiece,46
apna,31
apollo,28
apparent,112
appearance,2615
appeared,1029
appears,345
applause,144
applying,116
appointed,624
appreciate,165
approach,1794
approached,281
apr,1264
april,770
aravelly,19
archer,224
architect,113
ardent,29
area,1122
arena,802
arjun,451
arm,381
arnaldi,44
arora,162
arrival,519
arrive,76
arrived,583
arrowhead,46
arsenal,496
arshad,206
arshdeep,882
arun,423
arya,37
arévalo,3
ascend,7
ascended,143
ashmita,333
ashutosh,141
ashwini,494
asia,1586
asian,2772
aside,201
ask,527
asked,2028
asking,474
asks,53
aspect,638
aspiration,376
assamese,5
asserted,228
asserting,137
assessment,272
asset,235
assist,406
assistance,351
association,2541
assumed,189
assumes,46
assured,359
assuring,20
aston,142
astonishing,189
atal,322
ate,12
athens,98
athlete,3131
athletic,309
atkinson,169
atletico,239
atmosphere,464
atop,179
atp,1286
attack,1722
attacking,622
attempt,1178
attempted,390
attempting,243
attendance,190
attention,1257
attraction,50
attribute,92
attributed,298
auction,1184
aug,77
august,1664
augusta,432
aur,220
aurélien,3
australia,5590
australian,2831
authority,796
available,979
avanish,30
avenged,70
avenging,26
average,1537
averting,5
avesh,376
avg,8
avoid,433
awaited,133
award,1421
awarded,519
awarding,37
awareness,179
away,3092
awesome,150
axar,1118
ayush,220
azerbaijan,193
azmatullah,83
ba,48
baad,65
bac,72
bach,82
backed,211
backup,198
backward,104
bad,1791
badminton,7529
badoni,117
bag,272
bagan,875
baggage,29
bagged,215
bahadur,85
bai,851
bail,105
bairstow,221
balance,616
balanced,179
balancing,112
ball,11407
balyan,18
bandwagon,25
bangalore,145
bangar,79
bangkok,171
bangladeshi,92
bank,1108
banking,56
bansod,820
bar,273
barboza,66
barca,35
barcelona,845
barkley,127
barracuda,1
barreto,1
barring,93
barry,30
barsapara,95
baruah,266
base,347
based,706
bash,161
bat,3334
baton,50
batsman,2326
batter,3632
batting,5176
battle,1418
battled,236
bavarian,7
bayer,80
bayern,462
bbf,2
bearing,46
beat,2092
beaten,449
beating,769
beautifully,115
beauty,112
bedroom,57
began,2150
begging,11
begin,1378
beginning,978
begun,221
behalf,73
behavior,137
behaviour,114
behrendorff,18
beijing,316
belief,1591
believe,952
believed,422
beloved,173
belt,506
ben,526
benefit,333
beneston,1
bengal,1181
bengaluru,2769
ber,14
bernabeu,68
berth,638
best,7539
better,3692
bewilderment,12
bhagath,11
bhaji,7
bhandage,24
bharat,487
bhatia,276
bhogle,32
bhosale,31
bhui,60
bhumij,1
bhupinder,2
bhuvneshwar,149
biaka,1
bias,49
bicep,12
bicycle,14
bid,582
bidding,122
big,4189
bigger,546
biggest,1495
bigwig,1
bihari,303
biju,11
billie,104
billion,412
billionaire,61
bindra,150
bingjiao,106
birdie,1578
birthday,435
bishnoi,292
biswas,15
bit,2346
bitter,159
black,446
blah,6
blanked,34
blas,58
bleed,30
blend,179
blood,1013
blow,487
blown,91
boast,482
boasting,193
boby,75
bodes,17
body,1736
boe,392
bogey,1193
bogeyed,174
boiled,28
bollywood,227
bolster,124
bolstered,203
booed,61
booing,98
book,566
boost,497
boot,217
bopanna,509
bore,69
borgohain,559
borussia,123
bother,76
bought,218
boult,188
bounce,747
bounced,292
bouncer,79
bouncing,95
bound,185
boundary,1589
bout,1046
bowl,1957
bowled,1904
bowler,5189
bowling,4326
box,710
boxer,1813
boxing,3619
boy,1936
brace,204
bracing,25
brain,119
brand,1055
brar,54
bravo,44
breach,219
break,2808
breakfast,84
breaking,1058
breakthrough,320
breathtaking,98
breezed,29
bremen,13
brevis,36
brian,307
brief,673
briefly,235
brigade,63
bright,165
brilliance,401
brilliant,729
brilliantly,154
bring,1219
bringing,753
brings,421
brink,152
brisbane,233
broke,1000
bronze,4279
brook,454
brought,1625
brunswick,24
brunt,35
bryson,120
buckle,7
build,793
building,546
bulgaria,60
bullied,26
bumrah,2386
bunch,158
bunched,33
bundesliga,118
buoyed,63
burgeoning,25
burger,38
bus,219
busanan,133
business,979
buts,5
buttler,408
buy,217
bwf,1726
bye,200
ca,1789
cadiz,26
caffeine,33
cagliari,13
cahaya,16
called,1238
calling,439
calm,516
camaraderie,258
camavinga,16
came,5740
cameo,151
cameron,357
camp,1464
campaign,2534
canada,1432
cancer,144
candidly,70
cap,1024
capable,332
capital,1406
capitalise,95
capitalised,73
capitalising,37
capitalize,462
capitalized,422
capitalizing,198
captain,8027
captaincy,1180
captained,256
caption,162
captivating,171
captured,300
capturing,198
card,884
career,7193
careful,160
carefully,146
caribbean,533
carlo,356
carlos,777
carnage,60
carry,635
carvajal,73
carve,13
case,1286
casper,279
casualty,49
catch,1604
catching,198
category,1963
cause,366
caused,422
celebrated,977
celebrating,369
cemented,210
cementing,134
central,432
centre,1262
century,2286
ceremonial,32
certain,640
certainly,575
chahal,675
chahar,161
chakaravarthy,83
chaliha,452
challenge,4580
challenger,1685
challenging,2254
chameera,48
champion,13205
championship,8172
chan,107
chance,4932
chandigarh,528
change,2930
changed,830
changeover,83
changsha,14
chaos,107
chapter,373
characteristic,68
characterized,92
charge,958
charles23,11
charter,103
chase,1516
chasing,634
chat,328
chawla,176
check,271
cheekily,32
cheer,387
cheerfulness,1
chelsea,560
chen,579
chengdu,413
chennai,2563
chepauk,317
chernyshov,22
chetan,76
cheteshwar,34
chhetri,649
chhikara,14
chia,65
chidambaram,692
chief,2382
chiew,68
chiharu,168
child,797
childhood,280
china,3348
chinaman,29
chinaswammy,3
chinese,2310
chinnaswamy,355
chip,224
chipped,163
chirag,1548
choice,742
choke,25
choose,266
chose,543
chou,110
choudhary,517
chris,793
christian,289
christie,70
christopher,86
chuahan,12
ci,68
cinema,51
circle,406
circuit,443
circulated,38
circus,47
citing,388
citizen,59
city,3073
claim,1240
claimed,1582
claiming,826
clash,2391
clashed,105
clasico,60
classic,278
claudio,8
clawed,48
clawing,29
clay,1052
clean,317
clear,1661
clearly,398
clever,54
clifford,20
climax,80
clinch,978
clinched,1142
clinching,746
clinical,307
clip,348
clock,122
close,2723
closed,298
closely,778
closer,430
closing,361
cloud,133
clown,34
club,3977
coach,11310
coached,258
coaching,1792
coast,152
cobb,2
cobolli,120
code,222
coetzee,102
coinciding,41
cold,367
collaboration,276
collided,23
collin,93
collision,79
cologne,103
coman,8
combination,868
combine,96
combined,452
come,6775
comeback,2520
comfortable,782
comfortably,429
comical,23
coming,2484
commanding,850
commence,593
commenced,261
commences,63
commendable,371
comment,1412
commentary,349
commentator,385
commented,349
commitment,981
committee,1569
committing,140
common,186
commonwealth,924
communication,224
company,1454
compared,554
compass,3
compatriot,382
compete,1794
competing,1177
competition,3481
competitive,1400
competitiveness,87
competitor,712
complete,774
completed,647
completes,44
composed,336
composure,629
compounded,53
comprehensive,362
comprises,96
comprising,234
computerized,12
conceding,433
concentrating,97
concern,1676
concludes,49
conclusion,590
condition,2963
conditioning,127
conducive,68
conduct,410
conference,964
confidence,1844
confident,998
confidently,161
confirmed,1062
confronts,35
congratulated,163
congratulation,323
connect,98
connection,397
consecutive,2201
consequently,62
consider,420
considered,914
considering,656
considers,119
consistency,661
consistent,883
consistently,857
consolidate,52
constituency,25
consultation,119
consummate,6
contend,33
contender,752
content,243
contention,398
contest,946
contested,504
contesting,29
continental,159
contingent,1009
continue,2280
continued,1726
continues,1243
contrast,466
contrasting,127
contribute,334
contributed,889
contributing,542
contribution,1359
control,1747
controversial,512
controversy,609
conversion,84
convert,421
converted,418
converting,194
convinced,97
convincing,334
conway,106
core,247
corner,1584
cornerstone,62
corporate,59
cost,512
costliest,25
count,503
countered,104
country,3753
couple,2485
courageous,49
course,1996
court,4581
courted,38
courtesy,230
cover,568
coveted,416
cr,398
crack,123
craft,66
crafted,60
cramp,99
crasto,428
craving,8
crazy,199
crease,456
create,751
created,728
creating,470
credential,58
credit,973
crept,51
crest,16
cricbuzz,261
cricket,17274
cricketer,3973
cricketing,1274
crisis,119
criticism,1020
criticized,471
croatia,368
crop,69
crore,1222
crorefaf,12
crorehardik,12
crorerishabh,12
croreruturaj,11
croreshreyas,11
croreshubman,4
cross,678
crowd,1633
crown,882
crowned,92
crucial,3987
cruised,123
crushing,187
cryptic,58
crystal,125
csk,2847
cuban,63
cummins,743
cup,17845
curling,38
curran,360
currency,31
current,2619
currently,2812
cusp,62
cut,1583
cycle,441
czech,629
da,423
dabin,2
dad,332
dagar,141
daiki,1
dais,3
dal,8
damage,368
damocles,5
dampened,30
dance,214
dangal,27
dangerous,366
dani,113
daniel,393
daniil,251
danish,160
danny,84
dar,99
darker,50
darshan,99
daryl,153
dashed,185
dasun,23
date,764
daughter,689
daunting,226
david,952
davis,851
day,11008
dayal,537
dazzling,63
dc,1468
deadline,217
deadlock,179
deal,1203
dealing,336
dealt,152
death,471
debate,424
debutant,209
decade,889
deceived,36
december,857
decent,319
dechambeau,276
decided,1489
decider,351
decision,4806
decisive,696
decisively,115
decorated,109
dedication,727
deep,1234
deepak,290
defeat,4913
defeated,3208
defeating,1906
defeatist,1
defence,653
defend,809
defended,448
defender,807
defending,1539
defense,838
defensive,816
defensively,47
deficit,527
definitive,45
deflected,125
delayed,303
delhi,16951
delicate,59
delight,155
delighted,215
delightful,48
deliver,613
delivered,1051
delivery,1661
demanded,90
demanding,298
demonstrate,134
demonstrated,513
demonstrating,266
demoted,18
denmark,1070
denny,1
deny,127
denying,71
department,389
departure,789
depend,141
depends,195
depicts,7
depleted,34
depth,394
desai,80
described,444
deserving,82
deshpande,209
designed,118
desire,661
desired,132
desperately,74
despite,6367
destined,159
destructive,71
determination,1315
determined,962
detour,3
dev,728
devdutt,43
deviate,39
devika,34
devising,5
dewald,35
dhami,112
dhanraj,45
dharamsala,116
dhawan,459
dhir,61
dhona,15
dhoni,3137
dhruv,475
dhull,48
diagnosed,134
diaz,161
dicey,4
die,113
diego,162
difference,920
different,3121
differential,8
differently,192
difficult,2021
difficulty,438
dignitary,19
dilip,176
dilshan,45
diminutive,22
dimitrov,107
dinesh,350
dipendra,39
dipendu,9
directed,152
direction,340
directly,237
director,637
disallowed,107
disappointing,1152
disappointment,918
disaster,78
disbelief,113
disclosed,189
discovered,76
discus,351
discussed,562
discussing,231
discussion,1031
dismissal,883
dismissed,1235
dismissing,482
dispatching,43
display,914
displayed,888
displaying,201
displeasure,96
disrupt,106
distance,272
distinct,70
distinction,161
dividend,41
division,683
djokovic,2294
dmitriy,15
dogwood,35
doku,18
dollar,182
domestic,1292
dominance,1169
dominant,833
dominate,343
dominated,920
dominating,415
donned,103
donning,118
dont,17
double,7474
doubled,185
doubt,645
doubter,42
downed,146
draft,418
drake,65
drama,355
dramatic,523
draw,2568
drawing,240
dream,1528
drew,1438
dribble,15
drive,695
driver,106
dronacharya,17
drop,669
dropped,1122
dropping,388
du,447
duality,14
duan,12
dubai,394
dube,1160
dubey,133
duc,58
duck,441
dugout,140
duly,25
dumbfounded,14
dumped,17
duo,2687
dusan,30
dushmantha,38
dustin,83
dutchman,39
dutchwoman,9
duvan,4
dwaine,16
dwayne,183
dwipuji,16
dynamic,612
eager,621
eagerly,562
earlier,2793
early,4211
earn,541
earned,1248
earning,600
earnings,234
ease,252
easier,261
east,683
easy,1165
ebden,176
ec,19
echoing,47
eclipse,16
economical,76
ed,11
eden,708
edge,1036
edged,216
edition,1584
eduardo,16
edward,90
effective,315
effectively,603
efficiency,62
effort,3424
eighth,942
eintracht,7
ekana,376
el,202
elaborated,107
election,351
electrifying,237
elevate,147
elevated,195
elevating,48
eliciting,20
eliminated,644
elimination,379
eliminator,334
elite,737
embassy,20
embattled,4
embellished,13
embodied,38
embrace,175
embraced,121
emerge,229
emerged,1998
emerges,59
emerging,611
emotion,639
emotional,993
emphasized,1390
emphasizing,528
emphatic,128
emphatically,51
employed,118
en,174
enabled,41
encounter,2307
encountered,208
encouraged,140
end,5934
endeared,16
endeavor,143
ended,2592
ending,683
endured,261
enforcer,49
engaged,434
engages,11
engaging,265
england,6358
english,725
enjoyed,547
enjoying,554
enjoys,189
ensuing,47
ensure,855
ensures,80
ensuring,557
entered,565
enters,123
entertaining,209
entertainment,419
enthralling,117
enthusiast,270
entire,1109
entirely,134
entrepreneur,55
entrusting,13
entry,639
epitomizes,2
equalize,88
equalized,238
er,22
era,978
erik,56
erin,28
erling,66
eroding,22
error,908
erupted,188
escalated,96
escalating,54
especially,2093
espncricinfo,79
essential,138
establish,265
established,537
esteemed,129
etch,74
etched,333
ethical,97
europe,451
european,1230
eve,157
evening,503
evenly,116
event,7919
eventually,1155
everybody,465
evident,517
exactly,469
example,493
exceeding,100
excelled,161
excellence,684
excellent,546
exceptional,1483
exceptionally,106
exchange,345
excitement,806
exciting,1120
exclaimed,18
exclusive,539
exclusively,49
execute,174
executing,126
exemplified,98
exhaustive,18
exhibited,213
exhibition,104
exhilarating,126
existence,55
exit,1171
exited,193
expanding,79
expect,741
expectation,750
expected,2011
expensive,246
experience,2857
experienced,1482
experiencing,189
explaining,106
explains,40
explosive,681
exposed,111
exposing,41
expressed,3823
expressing,391
extended,870
extending,216
extensive,247
extra,872
extraordinary,326
extremely,475
eye,1198
fa,281
fabian,45
fabulous,52
face,5959
faced,3454
facing,1382
fact,1102
factor,557
facundo,17
faf,256
faiaz,1
failed,1627
failing,393
faint,43
fair,402
fairly,135
fall,616
falling,626
faltered,286
famed,71
familiar,274
family,2572
famous,645
fan,8764
fantastic,365
fantasy,462
far,2564
farooqi,108
farooqui,125
fast,1721
fate,358
father,1464
fatigue,51
fault,371
faust,6
favor,358
favorable,143
favoring,42
favorite,516
favour,664
favourable,144
favouring,54
favourite,651
fazalhaq,93
fc,1798
feat,996
featherweight,24
feature,1182
featured,641
febriana,16
february,909
federation,2061
feed,74
feel,3492
feeling,1336
felix,134
fell,1667
fellow,1061
felt,1845
ferguson,261
fernandez,212
fetched,63
field,3818
fielder,280
fielding,609
fierce,445
fiercely,72
fiery,121
fifa,572
fifth,2035
fight,2245
fighter,407
fighting,1032
figure,1795
figuring,23
fih,572
fijian,7
filled,455
film,310
final,15463
finale,247
finalist,284
finally,1275
finance,150
financially,92
finch,103
finding,475
fine,927
finest,154
finger,318
finish,2749
finished,1971
finishing,1335
firework,97
firm,223
firmly,210
fit,845
fitness,1409
fixture,782
flag,370
flamboyant,72
flat,207
flatter,31
flavio,77
flawless,170
fleeting,10
flick,235
flight,451
flinging,9
flooded,55
floundering,1
flourishing,24
flow,173
flowering,1
floyd,75
flurry,116
flying,228
focus,2162
focused,864
focussed,44
follow,516
followed,2385
following,5601
follows,408
food,156
foot,1189
football,4815
footballer,583
footed,2
footstep,131
foray,35
forbes,44
force,1118
forced,849
forcing,222
forehand,481
foreign,766
foreigner,71
form,2978
format,2242
formation,47
formidable,1810
forover,2
